#;Date;Category;Winner;Movie;Wikipedia_URL;Release;Cost;Director;Duration;IMDB
59th;March 30, 1987;Best Picture;True;Platoon;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;138530565.0;Oliver Stone;120 min;tt0091763
59th;March 30, 1987;Best Picture;False;Children of a Lesser God;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;31853080.0;Randa Haines;119 min;tt0090830
59th;March 30, 1987;Best Picture;False;Hannah and Her Sisters;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;40084041.0;Woody Allen;107 min;tt0091167
59th;March 30, 1987;Best Picture;False;The Mission;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;17218023.0;Roland Joffé;125 min;tt0091530
59th;March 30, 1987;Best Picture;False;A Room with a View;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Directing;True;Platoon;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;138530565.0;Oliver Stone;120 min;tt0091763
59th;March 30, 1987;Best Directing;False;Blue Velvet;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;8551228.0;David Lynch;120 min;tt0090756
59th;March 30, 1987;Best Directing;False;Hannah and Her Sisters;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;40084041.0;Woody Allen;107 min;tt0091167
59th;March 30, 1987;Best Directing;False;The Mission;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;17218023.0;Roland Joffé;125 min;tt0091530
59th;March 30, 1987;Best Directing;False;A Room with a View;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Actor in a Leading Role;True;The Color of Money;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;52293982.0;Martin Scorsese;119 min;tt0090863
59th;March 30, 1987;Best Actor in a Leading Role;False;Round Midnight;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;3272593.0;Bertrand Tavernier;133 min;tt0090557
59th;March 30, 1987;Best Actor in a Leading Role;False;Mona Lisa;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;5794184.0;Neil Jordan;104 min;tt0091538
59th;March 30, 1987;Best Actor in a Leading Role;False;Children of a Lesser God;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;31853080.0;Randa Haines;119 min;tt0090830
59th;March 30, 1987;Best Actor in a Leading Role;False;Salvador;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;1500000.0;Oliver Stone;122 min;tt0091886
59th;March 30, 1987;Best Actress in a Leading Role;True;Children of a Lesser God;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;31853080.0;Randa Haines;119 min;tt0090830
59th;March 30, 1987;Best Actress in a Leading Role;False;The Morning After;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;25147055.0;Sidney Lumet;103 min;tt0091554
59th;March 30, 1987;Best Actress in a Leading Role;False;Crimes of the Heart;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;22905522.0;Bruce Beresford;105 min;tt0090886
59th;March 30, 1987;Best Actress in a Leading Role;False;Peggy Sue Got Married;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;41382841.0;Francis Ford Coppola;103 min;tt0091738
59th;March 30, 1987;Best Actress in a Leading Role;False;Aliens;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;85160248.0;James Cameron;137 min;tt0090605
59th;March 30, 1987;Best Actor in a Supporting Role;True;Hannah and Her Sisters;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;40084041.0;Woody Allen;107 min;tt0091167
59th;March 30, 1987;Best Actor in a Supporting Role;False;Platoon;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;138530565.0;Oliver Stone;120 min;tt0091763
59th;March 30, 1987;Best Actor in a Supporting Role;False;A Room with a View;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Actor in a Supporting Role;False;Hoosiers;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;28607524.0;David Anspaugh;114 min;tt0091217
59th;March 30, 1987;Best Actress in a Supporting Role;True;Hannah and Her Sisters;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;40084041.0;Woody Allen;107 min;tt0091167
59th;March 30, 1987;Best Actress in a Supporting Role;False;Crimes of the Heart;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;22905522.0;Bruce Beresford;105 min;tt0090886
59th;March 30, 1987;Best Actress in a Supporting Role;False;Children of a Lesser God;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;31853080.0;Randa Haines;119 min;tt0090830
59th;March 30, 1987;Best Actress in a Supporting Role;False;The Color of Money;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;52293982.0;Martin Scorsese;119 min;tt0090863
59th;March 30, 1987;Best Actress in a Supporting Role;False;A Room with a View;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Writing (Screenplay Written Directly for the Screen);True;Hannah and Her Sisters;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;40084041.0;Woody Allen;107 min;tt0091167
59th;March 30, 1987;Best Writing (Screenplay Written Directly for the Screen);False;Crocodile Dundee;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;174803506.0;Peter Faiman;97 min;tt0090555
59th;March 30, 1987;Best Writing (Screenplay Written Directly for the Screen);False;My Beautiful Laundrette;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Writing (Screenplay Written Directly for the Screen);False;Platoon;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;138530565.0;Oliver Stone;120 min;tt0091763
59th;March 30, 1987;Best Writing (Screenplay Written Directly for the Screen);False;Salvador;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;1500000.0;Oliver Stone;122 min;tt0091886
59th;March 30, 1987;Best Writing (Screenplay Based on Material from Another Medium);True;A Room with a View;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Writing (Screenplay Based on Material from Another Medium);False;Children of a Lesser God;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;31853080.0;Randa Haines;119 min;tt0090830
59th;March 30, 1987;Best Writing (Screenplay Based on Material from Another Medium);False;The Color of Money;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;52293982.0;Martin Scorsese;119 min;tt0090863
59th;March 30, 1987;Best Writing (Screenplay Based on Material from Another Medium);False;Crimes of the Heart;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;22905522.0;Bruce Beresford;105 min;tt0090886
59th;March 30, 1987;Best Writing (Screenplay Based on Material from Another Medium);False;Stand by Me;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;52287414.0;Rob Reiner;89 min;tt0092005
59th;March 30, 1987;Best Writing (Screenplay Based on Material from Another Medium);False;The Body;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Foreign Language Film;True;The Assault;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;512403.0;Fons Rademakers;144 min;tt0090576
59th;March 30, 1987;Best Foreign Language Film;False;38;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;Wolfgang Glück;97 min;tt0090554
59th;March 30, 1987;Best Foreign Language Film;False;Betty Blue;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;2016851.0;Jean-Jacques Beineix;119 min;tt0090563
59th;March 30, 1987;Best Foreign Language Film;False;The Decline of the American Empire;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;1902706.0;Denys Arcand;101 min;tt0090985
59th;March 30, 1987;Best Foreign Language Film;False;My Sweet Little Village;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Documentary (Feature);True;Artie Shaw: Time Is All You've Got;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Documentary (Feature);False;Chile: Hasta Cuando?;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;David Bradbury;57 min;tt0090831
59th;March 30, 1987;Best Documentary (Feature);False;Isaac in America: A Journey with Isaac Bashevis Singer;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;;;
59th;March 30, 1987;Best Documentary (Feature);False;Witness to Apartheid;https://en.wikipedia.org/wiki/59th_Academy_Awards;1986;;Kevin Harris, Sharon I. Sopher;58 min;tt0092229
