,#,Date,Category,Winner,Movie,Wikipedia_URL
0,58th,"March 24, 1986",Best Picture,True,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
1,58th,"March 24, 1986",Best Picture,False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
2,58th,"March 24, 1986",Best Picture,False,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/58th_Academy_Awards
3,58th,"March 24, 1986",Best Picture,False,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
4,58th,"March 24, 1986",Best Picture,False,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
5,58th,"March 24, 1986",Best Directing,True,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
6,58th,"March 24, 1986",Best Directing,False,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/58th_Academy_Awards
7,58th,"March 24, 1986",Best Directing,False,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
8,58th,"March 24, 1986",Best Directing,False,Ran,https://en.wikipedia.org/wiki/58th_Academy_Awards
9,58th,"March 24, 1986",Best Directing,False,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
10,58th,"March 24, 1986",Best Actor in a Leading Role,True,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/58th_Academy_Awards
11,58th,"March 24, 1986",Best Actor in a Leading Role,False,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
12,58th,"March 24, 1986",Best Actor in a Leading Role,False,Murphy's Romance,https://en.wikipedia.org/wiki/58th_Academy_Awards
13,58th,"March 24, 1986",Best Actor in a Leading Role,False,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
14,58th,"March 24, 1986",Best Actor in a Leading Role,False,Runaway Train,https://en.wikipedia.org/wiki/58th_Academy_Awards
15,58th,"March 24, 1986",Best Actress in a Leading Role,True,The Trip to Bountiful,https://en.wikipedia.org/wiki/58th_Academy_Awards
16,58th,"March 24, 1986",Best Actress in a Leading Role,False,Agnes of God,https://en.wikipedia.org/wiki/58th_Academy_Awards
17,58th,"March 24, 1986",Best Actress in a Leading Role,False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
18,58th,"March 24, 1986",Best Actress in a Leading Role,False,Sweet Dreams,https://en.wikipedia.org/wiki/58th_Academy_Awards
19,58th,"March 24, 1986",Best Actress in a Leading Role,False,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
20,58th,"March 24, 1986",Best Actor in a Supporting Role,True,Cocoon,https://en.wikipedia.org/wiki/58th_Academy_Awards
21,58th,"March 24, 1986",Best Actor in a Supporting Role,False,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
22,58th,"March 24, 1986",Best Actor in a Supporting Role,False,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
23,58th,"March 24, 1986",Best Actor in a Supporting Role,False,Jagged Edge,https://en.wikipedia.org/wiki/58th_Academy_Awards
24,58th,"March 24, 1986",Best Actor in a Supporting Role,False,Runaway Train,https://en.wikipedia.org/wiki/58th_Academy_Awards
25,58th,"March 24, 1986",Best Actress in a Supporting Role,True,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
26,58th,"March 24, 1986",Best Actress in a Supporting Role,False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
27,58th,"March 24, 1986",Best Actress in a Supporting Role,False,Twice in a Lifetime,https://en.wikipedia.org/wiki/58th_Academy_Awards
28,58th,"March 24, 1986",Best Actress in a Supporting Role,False,Agnes of God,https://en.wikipedia.org/wiki/58th_Academy_Awards
29,58th,"March 24, 1986",Best Writing (Screenplay Written Directly for the Screen),True,Witness,https://en.wikipedia.org/wiki/58th_Academy_Awards
30,58th,"March 24, 1986",Best Writing (Screenplay Written Directly for the Screen),False,Back to the Future,https://en.wikipedia.org/wiki/58th_Academy_Awards
31,58th,"March 24, 1986",Best Writing (Screenplay Written Directly for the Screen),False,Brazil,https://en.wikipedia.org/wiki/58th_Academy_Awards
32,58th,"March 24, 1986",Best Writing (Screenplay Written Directly for the Screen),False,The Official Story,https://en.wikipedia.org/wiki/58th_Academy_Awards
33,58th,"March 24, 1986",Best Writing (Screenplay Written Directly for the Screen),False,The Purple Rose of Cairo,https://en.wikipedia.org/wiki/58th_Academy_Awards
34,58th,"March 24, 1986",Best Writing (Screenplay Based on Material from Another Medium),True,Out of Africa,https://en.wikipedia.org/wiki/58th_Academy_Awards
35,58th,"March 24, 1986",Best Writing (Screenplay Based on Material from Another Medium),False,The Color Purple,https://en.wikipedia.org/wiki/58th_Academy_Awards
36,58th,"March 24, 1986",Best Writing (Screenplay Based on Material from Another Medium),False,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/58th_Academy_Awards
37,58th,"March 24, 1986",Best Writing (Screenplay Based on Material from Another Medium),False,Prizzi's Honor,https://en.wikipedia.org/wiki/58th_Academy_Awards
38,58th,"March 24, 1986",Best Writing (Screenplay Based on Material from Another Medium),False,The Trip to Bountiful,https://en.wikipedia.org/wiki/58th_Academy_Awards
39,58th,"March 24, 1986",Best Foreign Language Film,True,The Official Story,https://en.wikipedia.org/wiki/58th_Academy_Awards
40,58th,"March 24, 1986",Best Foreign Language Film,False,Angry Harvest,https://en.wikipedia.org/wiki/58th_Academy_Awards
41,58th,"March 24, 1986",Best Foreign Language Film,False,Colonel Redl,https://en.wikipedia.org/wiki/58th_Academy_Awards
